Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
23,Mo Bamba,C,25,PHI,27,0,9.9,1.7,3.2,.523,0.4,0.8,.455,1.3,2.4,.547,.581,0.6,0.9,.652,1.4,2.1,3.4,0.5,0.4,0.9,0.6,1.3,4.3,bambamo01
24,Paolo Banchero,PF,21,ORL,50,50,34.9,8.2,18.0,.453,1.5,4.1,.362,6.7,13.9,.480,.494,5.1,7.3,.702,1.2,5.7,6.9,5.1,1.0,0.5,3.0,2.1,23.0,banchpa01
25,Desmond Bane,SG,25,MEM,37,37,34.5,8.9,18.8,.474,3.3,8.6,.384,5.6,10.2,.551,.563,3.3,3.8,.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4,banede01
26,Dalano Banton,PG,24,BOS,24,1,7.1,0.8,2.1,.373,0.1,0.7,.125,0.7,1.5,.486,.392,0.7,0.8,.800,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3,bantoda01
27,Dominick Barlow,PF,20,SAS,22,1,13.4,1.8,3.6,.494,0.1,0.3,.429,1.6,3.3,.500,.513,0.8,1.3,.607,1.2,2.2,3.4,1.2,0.4,0.5,0.2,1.5,4.5,barlodo01
28,Harrison Barnes,PF,31,SAC,48,48,30.1,4.1,8.7,.477,1.9,4.8,.396,2.3,3.9,.578,.586,1.9,2.3,.809,0.9,2.1,2.9,1.3,0.7,0.2,0.8,1.3,12.0,barneha02
29,Scottie Barnes,SG,22,TOR,49,49,35.4,7.6,15.8,.480,1.9,5.2,.365,5.7,10.6,.537,.540,3.2,4.2,.767,2.3,5.9,8.1,5.8,1.3,1.5,2.7,2.0,20.3,barnesc01
30,RJ Barrett,SG,23,TOT,40,40,31.2,7.0,14.9,.467,1.6,4.6,.341,5.4,10.3,.524,.520,3.8,5.0,.763,0.9,4.4,5.3,2.8,0.5,0.4,1.9,2.2,19.3,barrerj01
30,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,barrerj01
30,RJ Barrett,SG,23,TOR,14,14,34.4,8.1,14.8,.551,1.4,3.9,.364,6.7,10.9,.618,.599,3.4,5.3,.649,1.1,6.0,7.1,3.5,0.6,0.4,1.9,2.9,21.1,barrerj01
31,Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3,bassech01
32,Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,.240,0.5,2.0,.250,0.1,0.5,.200,.340,0.1,0.2,.500,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8,batesem01
33,Keita Bates-Diop,SF,28,PHO,39,8,15.3,1.6,3.8,.427,0.5,1.6,.313,1.1,2.2,.512,.493,0.7,0.9,.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5,bateske01
34,Nicolas Batum,PF,35,TOT,34,27,24.9,2.1,4.0,.519,1.3,2.9,.454,0.8,1.1,.684,.681,0.3,0.4,.643,1.2,2.6,3.9,2.3,0.7,0.7,0.6,2.0,5.7,batumni01
34,Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7,batumni01
34,Nicolas Batum,PF,35,PHI,31,27,25.5,2.2,4.1,.528,1.4,2.9,.467,0.8,1.2,.676,.693,0.3,0.5,.643,1.4,2.6,4.0,2.4,0.6,0.7,0.6,2.0,6.0,batumni01
35,Bradley Beal,SG,30,PHO,26,26,33.3,7.1,14.3,.496,1.5,4.3,.345,5.6,9.9,.562,.549,2.5,3.2,.780,0.8,3.4,4.2,4.6,0.8,0.3,2.4,2.7,18.1,bealbr01
36,Malik Beasley,SG,27,MIL,48,48,29.5,4.1,8.5,.477,2.8,6.1,.451,1.3,2.4,.544,.639,0.3,0.4,.650,0.6,3.4,4.0,1.4,0.8,0.1,0.7,2.1,11.2,beaslma01
37,MarJon Beauchamp,SF,23,MIL,36,1,15.0,1.9,3.9,.482,0.7,1.8,.397,1.2,2.1,.553,.572,0.3,0.6,.600,0.6,1.8,2.3,0.8,0.3,0.2,0.7,1.3,4.8,beaucma01
38,Jules Bernard,SG,24,WAS,6,0,4.7,0.5,2.0,.250,0.2,1.3,.125,0.3,0.7,.500,.292,0.0,0.0,,0.3,0.5,0.8,0.8,0.2,0.2,0.3,0.7,1.2,bernaju01
39,Dāvis Bertāns,PF,31,OKC,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9,bertada01
40,Patrick Beverley,PG,35,PHI,45,5,19.4,2.1,5.0,.427,0.7,2.3,.317,1.4,2.7,.521,.500,1.1,1.4,.803,0.6,2.5,3.1,3.0,0.5,0.4,1.0,1.8,6.1,beverpa01
41,Saddiq Bey,SF,24,ATL,48,36,32.3,4.4,10.6,.413,1.7,5.6,.303,2.7,5.1,.533,.492,2.5,3.0,.814,2.6,3.9,6.5,1.5,0.9,0.1,0.9,1.6,12.9,beysa01
42,Goga Bitadze,C,24,ORL,41,31,19.7,2.7,4.4,.615,0.0,0.2,.200,2.6,4.1,.639,.620,1.1,1.7,.676,2.3,3.7,6.1,1.6,0.7,1.5,0.8,2.2,6.5,bitadgo01
43,Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitimon01
44,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2,biyombi01
45,Anthony Black,PG,20,ORL,46,29,19.0,1.9,3.8,.497,0.5,1.4,.381,1.4,2.4,.563,.566,0.9,1.3,.656,0.5,1.7,2.3,1.6,0.6,0.4,0.9,2.0,5.2,blackan01
46,Leaky Black,SF,24,CHO,19,0,7.8,0.7,1.6,.452,0.4,0.6,.583,0.4,1.0,.368,.565,0.3,0.5,.600,0.3,0.9,1.3,0.6,0.3,0.3,0.1,0.6,2.2,blackle01
47,Bogdan Bogdanović,SG,31,ATL,47,6,28.8,6.1,14.1,.432,3.1,8.4,.370,3.0,5.6,.525,.543,1.9,2.1,.907,0.5,2.6,3.1,2.7,1.3,0.2,1.2,2.4,17.2,bogdabo01
48,Bojan Bogdanović,PF,34,DET,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2,bogdabo02
49,Bol Bol,PF,24,PHO,13,0,7.8,1.6,2.3,.700,0.2,0.5,.429,1.4,1.8,.783,.750,0.3,0.4,.800,0.8,1.8,2.6,0.5,0.3,0.5,0.6,0.8,3.8,bolbo01
50,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,boldema01
51,Devin Booker,PG,27,PHO,41,41,36.0,9.8,19.5,.500,2.3,5.9,.387,7.5,13.6,.549,.559,6.0,6.9,.879,0.7,4.1,4.8,7.2,0.9,0.4,2.6,3.0,27.8,bookede01
52,Brandon Boston Jr.,SF,22,LAC,13,0,7.8,1.5,3.8,.408,0.5,1.3,.353,1.1,2.5,.438,.469,0.5,0.6,.875,0.5,0.5,1.1,0.4,0.2,0.2,0.3,1.1,4.1,bostobr01
53,Chris Boucher,PF,31,TOR,44,0,14.0,2.1,4.4,.477,0.6,2.0,.326,1.5,2.4,.598,.549,1.3,1.8,.753,1.2,2.8,4.0,0.4,0.3,0.4,0.5,1.4,6.1,bouchch01
54,James Bouknight,SG,23,CHO,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1,0.1,.500,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6,bouknja01
55,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7,bouyeja01
56,Malaki Branham,PG,20,SAS,45,21,20.5,3.3,7.6,.431,0.9,3.0,.301,2.4,4.6,.517,.491,0.6,0.6,.929,0.3,1.7,2.0,2.2,0.4,0.1,1.1,1.2,8.1,branhma01
57,Christian Braun,SG,22,DEN,51,0,18.8,2.5,5.7,.447,0.6,1.8,.359,1.9,3.9,.487,.503,1.2,1.7,.729,0.8,2.7,3.5,1.4,0.4,0.4,0.7,1.5,7.0,braunch01
58,Mikal Bridges,SF,27,BRK,48,48,35.1,7.7,16.9,.455,2.5,6.7,.371,5.2,10.2,.510,.528,4.1,5.0,.824,0.9,4.1,5.0,3.7,0.9,0.4,2.3,1.7,21.9,bridgmi01
59,Miles Bridges,SF,25,CHO,37,35,37.1,7.9,17.5,.451,2.3,6.5,.355,5.6,10.9,.509,.518,2.6,3.0,.866,0.8,6.6,7.4,3.1,1.1,0.6,2.0,1.9,20.7,bridgmi02
60,Oshae Brissett,SF,25,BOS,32,0,11.3,1.3,2.9,.462,0.3,1.2,.297,1.0,1.8,.571,.522,0.9,1.3,.683,1.1,1.9,3.0,0.6,0.4,0.1,0.3,1.1,3.9,brissos01
61,Malcolm Brogdon,PG,31,POR,39,25,28.7,5.6,12.7,.440,2.1,5.1,.412,3.5,7.6,.458,.522,2.4,3.0,.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7,brogdma01
62,Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,brookar01
63,Dillon Brooks,SF,28,HOU,40,40,31.1,4.9,10.8,.456,1.9,4.8,.389,3.1,6.0,.508,.542,1.9,2.3,.833,0.7,2.8,3.5,1.6,1.0,0.1,1.4,3.7,13.5,brookdi01
64,Bruce Brown,SG-PG,27,TOT,41,37,29.2,4.4,9.3,.467,1.0,2.9,.331,3.4,6.5,.528,.518,1.9,2.2,.837,0.9,3.9,4.8,2.8,1.1,0.4,1.2,2.5,11.6,brownbr01
64,Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1,brownbr01
64,Bruce Brown,PG,27,TOR,8,4,27.1,3.8,8.6,.435,0.8,2.1,.353,3.0,6.5,.462,.478,1.3,1.3,1.000,1.4,4.0,5.4,2.0,1.1,0.9,1.3,2.5,9.5,brownbr01
65,Charlie Brown Jr.,SG,26,NYK,4,0,1.5,0.3,1.0,.250,0.3,0.8,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.3,0.8,brownch02
66,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5,browngr01
67,Jaylen Brown,SF,27,BOS,46,46,33.2,8.6,17.5,.491,2.0,5.8,.348,6.6,11.7,.562,.549,3.1,4.3,.727,1.1,4.3,5.4,3.7,1.1,0.6,2.4,2.6,22.3,brownja02
68,Kendall Brown,SG,20,IND,5,0,4.0,0.6,1.2,.500,0.0,0.2,.000,0.6,1.0,.600,.500,0.8,1.2,.667,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.8,2.0,brownke03
69,Kobe Brown,PF,24,LAC,30,0,9.0,0.7,2.0,.367,0.4,1.3,.289,0.4,0.7,.500,.458,0.0,0.1,.500,0.3,1.1,1.4,0.6,0.2,0.1,0.2,1.3,1.9,brownko01
70,Moses Brown,C,24,POR,9,4,9.1,1.0,2.3,.429,0.0,0.0,,1.0,2.3,.429,.429,0.0,0.4,.000,2.0,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2.0,brownmo01
71,Troy Brown Jr.,SF,24,MIN,37,3,11.1,1.4,3.2,.441,0.8,2.3,.369,0.6,0.9,.618,.572,0.5,0.6,.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2,browntr01
72,Jalen Brunson,PG,27,NYK,48,48,35.9,9.7,20.1,.481,2.7,6.6,.413,7.0,13.6,.514,.548,5.2,6.2,.835,0.6,3.3,3.9,6.5,0.9,0.2,2.3,2.0,27.3,brunsja01
73,Thomas Bryant,C,26,MIA,25,3,10.4,1.8,3.1,.571,0.0,0.2,.000,1.8,2.9,.603,.571,0.7,0.9,.818,1.0,2.1,3.1,0.6,0.2,0.2,0.6,1.0,4.2,bryanth01
74,Kobe Bufkin,SG,20,ATL,3,0,2.0,0.3,1.3,.250,0.3,0.7,.500,0.0,0.7,.000,.375,0.3,0.7,.500,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.0,1.3,bufkiko01
75,Reggie Bullock,SF,32,HOU,20,0,9.0,0.9,2.1,.405,0.6,1.6,.387,0.3,0.6,.455,.548,0.1,0.1,1.000,0.2,1.3,1.4,0.5,0.2,0.1,0.3,0.5,2.4,bullore01
76,Alec Burks,SG,32,DET,42,0,20.8,3.6,9.4,.388,2.2,5.7,.392,1.4,3.7,.383,.508,2.7,3.0,.898,0.4,2.1,2.5,1.6,0.5,0.3,0.8,1.5,12.3,burksal01
77,Jared Butler,SG,23,WAS,17,0,7.5,1.6,2.9,.560,0.6,1.4,.417,1.1,1.5,.692,.660,0.7,0.9,.800,0.0,0.6,0.6,1.8,0.5,0.1,0.6,0.8,4.6,butleja02
78,Jimmy Butler,PF,34,MIA,35,35,33.9,6.8,13.6,.499,1.0,2.2,.442,5.8,11.4,.510,.535,7.0,8.0,.871,2.1,3.1,5.2,4.3,1.2,0.3,1.7,1.1,21.5,butleji01
79,Jamal Cain,PF,24,MIA,14,1,14.9,2.1,4.7,.439,0.6,1.8,.320,1.5,2.9,.512,.500,1.0,1.4,.737,0.9,1.2,2.1,0.2,0.6,0.3,0.3,1.1,5.7,cainja01
80,Kentavious Caldwell-Pope,SG,30,DEN,49,49,32.4,3.6,8.0,.446,1.5,3.9,.381,2.1,4.1,.507,.538,1.7,1.8,.920,0.4,1.9,2.3,2.3,1.3,0.5,1.0,2.0,10.2,caldwke01
81,Toumani Camara,PF,23,POR,49,30,23.6,2.5,6.0,.421,0.7,2.5,.285,1.8,3.4,.521,.481,1.0,1.4,.718,1.8,2.9,4.7,1.0,1.0,0.5,1.1,2.5,6.8,camarto01
82,Clint Capela,C,29,ATL,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5,capelca01
83,Jevon Carter,PG,28,CHI,48,0,13.7,1.9,5.3,.366,1.1,3.4,.337,0.8,1.9,.418,.474,0.1,0.1,.600,0.1,0.6,0.8,1.2,0.5,0.3,0.5,1.0,5.1,carteje01
84,Wendell Carter Jr.,C,24,ORL,24,18,26.0,4.0,7.7,.519,1.1,2.8,.403,2.9,4.9,.585,.592,2.1,2.8,.735,2.0,4.7,6.7,1.6,0.5,0.5,1.1,2.3,11.2,cartewe01
85,Alex Caruso,SG,29,CHI,43,31,26.7,3.5,7.3,.486,1.8,4.4,.405,1.7,2.9,.610,.609,1.2,1.5,.758,1.0,2.7,3.6,2.8,1.3,1.1,1.3,2.5,10.0,carusal01
86,Colin Castleton,C,23,LAL,5,0,6.4,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,0.8,0.8,1.000,0.8,1.0,1.8,0.6,0.0,0.0,0.2,1.2,3.2,castlco01
87,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cazalma01
88,Julian Champagnie,SF,22,SAS,43,28,16.4,1.9,4.7,.404,1.3,3.4,.381,0.6,1.3,.464,.542,0.8,1.0,.810,0.5,1.9,2.3,1.0,0.6,0.6,0.7,1.1,5.9,champju02
89,Max Christie,SG,20,LAL,41,6,17.2,1.8,4.3,.423,0.7,2.1,.349,1.1,2.2,.494,.509,0.6,0.8,.788,0.2,2.4,2.6,1.0,0.4,0.3,0.8,1.2,5.0,chrisma02
90,Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2,cissosi01
91,Jordan Clarkson,SG,31,UTA,41,19,30.0,6.3,15.0,.417,1.6,5.5,.291,4.7,9.5,.490,.470,3.3,3.8,.878,1.0,2.5,3.5,4.9,0.6,0.1,2.8,1.4,17.5,clarkjo01
92,Nic Claxton,C,24,BRK,38,38,29.6,5.4,8.5,.637,0.0,0.1,.333,5.4,8.4,.639,.638,1.6,2.8,.562,3.0,7.4,10.5,2.0,0.7,2.2,1.2,2.5,12.4,claxtni01
93,Noah Clowney,PF,19,BRK,3,0,10.0,2.0,3.3,.600,0.0,0.3,.000,2.0,3.0,.667,.600,1.3,1.3,1.000,1.0,1.3,2.3,1.0,0.0,0.3,0.3,1.0,5.3,clownno01
94,Amir Coffey,SF,26,LAC,36,7,17.0,2.1,3.6,.569,0.8,1.7,.435,1.3,1.9,.691,.673,0.8,0.9,.871,0.4,1.4,1.7,0.7,0.5,0.1,0.4,1.2,5.6,coffeam01
95,John Collins,PF,26,UTA,47,45,27.7,5.6,10.7,.518,1.2,3.5,.343,4.3,7.2,.604,.574,1.8,2.3,.771,2.2,5.8,8.0,1.1,0.6,0.8,1.4,2.7,14.1,collijo01
96,Zach Collins,C,26,SAS,38,24,25.0,4.6,9.7,.476,0.9,3.3,.283,3.7,6.4,.576,.524,1.9,2.4,.763,1.9,3.8,5.7,3.1,0.6,0.7,2.2,3.3,12.1,colliza01
97,Mike Conley,PG,36,MIN,45,45,29.0,3.6,8.1,.440,2.3,5.2,.436,1.3,2.9,.447,.579,1.2,1.3,.915,0.3,2.5,2.8,6.4,1.0,0.2,1.1,1.7,10.6,conlemi01
98,Pat Connaughton,SF,31,MIL,44,0,20.7,1.8,4.1,.440,1.1,3.0,.374,0.7,1.2,.608,.574,0.4,0.6,.704,0.6,2.5,3.1,1.7,0.5,0.2,0.5,1.2,5.2,connapa01
99,Bilal Coulibaly,SF,19,WAS,48,3,26.6,3.0,6.5,.460,1.0,2.6,.376,2.0,3.9,.516,.535,1.2,1.8,.686,0.8,3.2,4.0,1.8,0.9,0.8,1.4,2.1,8.2,coulibi01
100,Ricky Council IV,SG,22,PHI,8,0,5.5,1.0,2.1,.471,0.3,0.4,.667,0.8,1.8,.429,.529,1.1,1.6,.692,0.5,0.5,1.0,0.1,0.3,0.0,0.0,0.1,3.4,councri01
101,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,covinro01
101,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,covinro01
101,Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,covinro01
102,Torrey Craig,SF,33,CHI,28,7,20.9,2.2,5.1,.424,1.1,2.9,.375,1.1,2.3,.484,.528,0.6,0.8,.783,1.8,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1,craigto01
103,Jae Crowder,PF,33,MIL,19,4,23.5,2.4,5.5,.438,1.5,3.8,.397,0.9,1.7,.531,.576,0.5,0.8,.563,0.4,2.7,3.1,1.4,0.7,0.2,0.4,1.7,6.8,crowdja01
